LEA,LEADescription,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults
5503010,Kirby Elementary School,,,,
5503011,Kirby High School,,,,
5504001,Delight Elementary School,,,,
5504014,Murfreesboro Elementary School,,,,
5504015,Murfreesboro High School,,,,1
5602005,Harrisburg Elementary School,,,3,68
5602007,Harrisburg High School,,1,,
5602008,Harrisburg Middle School,,2,,
5602031,Weiner Elementary,,,,
5602032,Weiner High School,,,,
5604015,Marked Tree Elementary School,,1,,
5604017,Marked Tree High School,1,,,
5604018,Marked Tree Middle School,,,1,1
5605001,Trumann Intermediate Sch 5-6,,,,32
5605021,Cedar Park Elementary School,,9,10,47
5605023,Trumann High School,1,,,
5605024,Trumann Intermediate School7-8,,2,,21
5608034,Lepanto Elementary,,,,
5608035,Tyronza Elementary,,,,
5608037,East Poinsett Co. High School,2,1,4,4
5703009,Louise Durham Elem. School,,,,
5703010,Holly Harshman Elem. School,,,,
5703011,Mena Middle School,,,,
5703012,Mena High School,2,,,
5706001,Acorn Elementary School,2,1,,
5706002,Acorn High School,,1,,
5706010,Oden Maddox Elementary School,,,,
5706011,Oden High School,,,,
5707016,Umpire Elementary School,,,,
5707017,Umpire High School,,,,
5707018,Van Cove High School,,,,
5707019,Van Cove Elementary School,,,1,1
5707021,Wickes Elementary School,,,,
5707022,Wickes High School,,,,
5707023,Cossatot River High School,,4,,
5801001,Atkins Elementary School,,,1,2
5801002,Atkins High School,,,1,5
5801003,Atkins Middle School,,,,
5802006,Dover High School,,1,1,1
5802008,Dover Middle School,,2,,
5802009,Dover Elementary School,,,1,
5803009,Hector Elementary School,,,,
5803010,Hector High School,,,,
5804013,Pottsville Elementary School,,,,
5804014,Pottsville High School,,,,1
